starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 22 15:41:41 2017	1487774501	2	853	855	762
Wed Feb 22 15:41:42 2017	1487774502	2	853	855	819
Wed Feb 22 15:42:10 2017	1487774530	1	854	856	817
Wed Feb 22 15:41:44 2017	1487774504	1	855	857	796
Wed Feb 22 15:41:43 2017	1487774503	1	857	858	789
Wed Feb 22 15:42:08 2017	1487774528	1	857	858	807
Wed Feb 22 15:41:45 2017	1487774505	2	858	859	792
Wed Feb 22 15:41:43 2017	1487774503	1	858	860	793
Wed Feb 22 15:41:44 2017	1487774504	1	859	860	818
Wed Feb 22 15:42:10 2017	1487774530	1	863	864	848
Wed Feb 22 15:41:42 2017	1487774502	1	863	864	809
Wed Feb 22 15:42:05 2017	1487774525	2	864	866	825
Wed Feb 22 15:41:41 2017	1487774501	1	865	867	804
Wed Feb 22 15:41:47 2017	1487774507	2	869	871	802
Wed Feb 22 15:41:40 2017	1487774500	1	870	872	827
Wed Feb 22 15:41:44 2017	1487774504	1	870	872	815
Wed Feb 22 15:41:42 2017	1487774502	1	871	873	813
Wed Feb 22 15:41:42 2017	1487774502	1	872	874	848
Wed Feb 22 15:41:40 2017	1487774500	2	873	875	806
Wed Feb 22 15:41:41 2017	1487774501	1	875	876	782
Wed Feb 22 15:41:43 2017	1487774503	1	875	876	844
Wed Feb 22 15:41:40 2017	1487774500	1	882	884	862
Wed Feb 22 15:42:05 2017	1487774525	1	883	885	842
Wed Feb 22 15:41:56 2017	1487774516	1	884	885	852
Wed Feb 22 15:42:06 2017	1487774526	1	884	885	830
Wed Feb 22 15:41:41 2017	1487774501	1	890	891	805
Wed Feb 22 15:41:44 2017	1487774504	1	893	894	832
Wed Feb 22 15:42:10 2017	1487774530	1	893	894	851
Wed Feb 22 15:41:46 2017	1487774506	1	895	897	850
Wed Feb 22 15:42:10 2017	1487774530	2	899	900	844
Wed Feb 22 15:41:45 2017	1487774505	1	903	904	835
Wed Feb 22 15:41:39 2017	1487774499	2	904	906	869
Wed Feb 22 15:41:39 2017	1487774499	2	906	908	881
Wed Feb 22 15:41:43 2017	1487774503	2	926	927	871
Wed Feb 22 15:42:10 2017	1487774530	1	928	930	879
Wed Feb 22 15:41:43 2017	1487774503	1	931	932	851
Wed Feb 22 15:41:40 2017	1487774500	1	946	947	909
Wed Feb 22 15:41:47 2017	1487774507	1	950	951	918
Wed Feb 22 15:41:40 2017	1487774500	1	957	959	951
Wed Feb 22 15:41:40 2017	1487774500	2	965	967	913
Wed Feb 22 15:41:47 2017	1487774507	2	967	968	923
Wed Feb 22 15:41:40 2017	1487774500	1	970	972	902
Wed Feb 22 15:41:48 2017	1487774508	1	979	981	912
Wed Feb 22 15:41:40 2017	1487774500	1	983	984	941
Wed Feb 22 15:41:47 2017	1487774507	1	1038	1040	975
Wed Feb 22 15:41:40 2017	1487774500	1	1043	1044	1004
Wed Feb 22 15:41:47 2017	1487774507	2	1210	1211	1192
Wed Feb 22 15:42:03 2017	1487774523	1	1801	1802	1752
Wed Feb 22 15:42:02 2017	1487774522	2	1873	1875	1819
Wed Feb 22 15:42:02 2017	1487774522	1	1949	1950	1896
Wed Feb 22 15:42:02 2017	1487774522	1	2066	2068	2044
Wed Feb 22 15:42:02 2017	1487774522	1	2075	2076	2030
Wed Feb 22 15:42:02 2017	1487774522	1	2076	2077	2021
Wed Feb 22 15:42:02 2017	1487774522	1	2088	2089	2036
Wed Feb 22 15:42:02 2017	1487774522	1	2089	2090	2072
Wed Feb 22 15:42:02 2017	1487774522	1	2137	2138	2110
Wed Feb 22 15:42:02 2017	1487774522	1	2148	2149	2100
Wed Feb 22 15:41:49 2017	1487774509	1	2517	2518	2512
Wed Feb 22 15:41:49 2017	1487774509	1	2535	2536	2492
Wed Feb 22 15:41:49 2017	1487774509	2	2670	2671	2625
Wed Feb 22 15:41:49 2017	1487774509	1	2694	2696	2683
Wed Feb 22 15:41:49 2017	1487774509	1	2697	2698	2671
Wed Feb 22 15:41:49 2017	1487774509	1	2709	2710	2685
Wed Feb 22 15:41:49 2017	1487774509	1	2718	2719	2652
Wed Feb 22 15:41:49 2017	1487774509	1	2781	2782	2769
Wed Feb 22 15:41:49 2017	1487774509	2	2808	2810	2768
Wed Feb 22 15:41:49 2017	1487774509	1	2810	2811	2776
